Gene	Taxon	Plot	landuseCode	Elevation	variable	value
16S	All Prokaryotes	CM30c30-L	I	597	OTU richness	712
16S	All Prokaryotes	Plot06-I	I	320	OTU richness	1320
16S	All Prokaryotes	CM30c53-B	I	155	OTU richness	1068
16S	All Prokaryotes	CM30c51-I	I	67	OTU richness	794
16S	All Prokaryotes	Plot02-C	I	90	OTU richness	1032
16S	All Prokaryotes	CM30c35-D	I	165	OTU richness	836
16S	All Prokaryotes	Plot03-H	I	160	OTU richness	887
16S	All Prokaryotes	CM30b51-B	I	174.627853	OTU richness	1868
16S	All Prokaryotes	CM31a5-B	I	70	OTU richness	1560
16S	All Prokaryotes	CM30c30-N	I	597	OTU richness	1041
16S	All Prokaryotes	CM30b60-M	I	400	OTU richness	1305
16S	All Prokaryotes	Plot02-M	I	90	OTU richness	879
16S	All Prokaryotes	Plot08-O	I	460	OTU richness	1461
16S	All Prokaryotes	Plot06-N	I	320	OTU richness	1375
16S	All Prokaryotes	CM30c35-B	I	165	OTU richness	706
16S	All Prokaryotes	Plot07-N	I	420	OTU richness	1336
16S	All Prokaryotes	CM30c60-A	I	51	OTU richness	623
16S	Actinobacteria	CM30c28-P	I	227	OTU richness	74
16S	Actinobacteria	CM30c62-D	I	99	OTU richness	41
16S	Actinobacteria	Plot07-M	I	420	OTU richness	81
16S	Actinobacteria	LB1-E	I	630	OTU richness	111
16S	Actinobacteria	Plot05-I	I	240	OTU richness	79
16S	Actinobacteria	CM30c39-E	I	290	OTU richness	70
16S	Actinobacteria	Plot01-L	I	50	OTU richness	242
16S	Actinobacteria	CM30c53-I	I	155	OTU richness	85
16S	Actinobacteria	CM31a5-A	I	70	OTU richness	97
16S	Actinobacteria	CM30c46-D	I	319	OTU richness	74
16S	Actinobacteria	CM30c-O	I	283	OTU richness	110
16S	Actinobacteria	CM30c28-N	I	227	OTU richness	59
16S	Actinobacteria	CM30d3-L	I	518	OTU richness	86
16S	Actinobacteria	CM30c44-B	I	110	OTU richness	124
16S	Actinobacteria	CM30c37-E	I	279	OTU richness	83
16S	Actinobacteria	CM30c62-M	I	99	OTU richness	93
16S	Actinobacteria	CM30c37-L	I	279	OTU richness	99
16S	Actinobacteria	CM30c51-H	I	67	OTU richness	145
16S	Actinobacteria	Plot05-N	I	240	OTU richness	70
16S	Actinobacteria	CM30d12-H	I	371	OTU richness	152
16S	Actinobacteria	Plot03-N	I	160	OTU richness	73
16S	Actinobacteria	CM30c46-O	I	319	OTU richness	42
16S	Actinobacteria	CM30b58-C	I	9	OTU richness	159
16S	Actinobacteria	CM30b60-E	I	400	OTU richness	147
16S	Actinobacteria	CM30c-P	I	283	OTU richness	115
16S	Actinobacteria	Plot04-A	I	260	OTU richness	215
16S	Actinobacteria	CM30c39-A	I	290	OTU richness	104
16S	Actinobacteria	CM30c60-B	I	51	OTU richness	78
16S	Actinobacteria	Plot01-B	I	50	OTU richness	186
16S	Actinobacteria	CM30b51-M	I	174.627853	OTU richness	80
16S	Actinobacteria	CM30d12-L	I	371	OTU richness	91
16S	Actinobacteria	Plot08-I	I	460	OTU richness	77
16S	Actinobacteria	CM30c44-C	I	110	OTU richness	93
16S	Actinobacteria	Plot04-N	I	260	OTU richness	232
16S	Actinobacteria	LB5-I	I	634	OTU richness	99
16S	Actinobacteria	CM30d3-D	I	518	OTU richness	104
16S	Actinobacteria	CM30b58-I	I	9	OTU richness	109
16S	Actinobacteria	LB1-A	I	630	OTU richness	69
16S	Actinobacteria	LB5-A	I	634	OTU richness	73
16S	Actinobacteria	CM30c30-L	I	597	OTU richness	30
16S	Actinobacteria	Plot06-I	I	320	OTU richness	99
16S	Actinobacteria	CM30c53-B	I	155	OTU richness	117
16S	Actinobacteria	CM30c51-I	I	67	OTU richness	71
16S	Actinobacteria	Plot02-C	I	90	OTU richness	62
16S	Actinobacteria	CM30c35-D	I	165	OTU richness	42
16S	Actinobacteria	Plot03-H	I	160	OTU richness	54
16S	Actinobacteria	CM30b51-B	I	174.627853	OTU richness	182
16S	Actinobacteria	CM31a5-B	I	70	OTU richness	102
16S	Actinobacteria	CM30c30-N	I	597	OTU richness	87
16S	Actinobacteria	CM30b60-M	I	400	OTU richness	94
16S	Actinobacteria	Plot02-M	I	90	OTU richness	43
16S	Actinobacteria	Plot08-O	I	460	OTU richness	91
16S	Actinobacteria	Plot06-N	I	320	OTU richness	119
16S	Actinobacteria	CM30c35-B	I	165	OTU richness	33
16S	Actinobacteria	Plot07-N	I	420	OTU richness	64
16S	Actinobacteria	CM30c60-A	I	51	OTU richness	52
16S	Armatimonadetes	CM30c28-P	I	227	OTU richness	5
16S	Armatimonadetes	CM30c62-D	I	99	OTU richness	9
16S	Armatimonadetes	Plot07-M	I	420	OTU richness	11
16S	Armatimonadetes	LB1-E	I	630	OTU richness	29
16S	Armatimonadetes	Plot05-I	I	240	OTU richness	17
16S	Armatimonadetes	CM30c39-E	I	290	OTU richness	14
16S	Armatimonadetes	Plot01-L	I	50	OTU richness	9
16S	Armatimonadetes	CM30c53-I	I	155	OTU richness	9
16S	Armatimonadetes	CM31a5-A	I	70	OTU richness	11
16S	Armatimonadetes	CM30c46-D	I	319	OTU richness	14
16S	Armatimonadetes	CM30c-O	I	283	OTU richness	5
16S	Armatimonadetes	CM30c28-N	I	227	OTU richness	7
16S	Armatimonadetes	CM30d3-L	I	518	OTU richness	18
16S	Armatimonadetes	CM30c44-B	I	110	OTU richness	15
16S	Armatimonadetes	CM30c37-E	I	279	OTU richness	19
16S	Armatimonadetes	CM30c62-M	I	99	OTU richness	8
16S	Armatimonadetes	CM30c37-L	I	279	OTU richness	23
16S	Armatimonadetes	CM30c51-H	I	67	OTU richness	16
16S	Armatimonadetes	Plot05-N	I	240	OTU richness	12
16S	Armatimonadetes	CM30d12-H	I	371	OTU richness	17
16S	Armatimonadetes	Plot03-N	I	160	OTU richness	6
16S	Armatimonadetes	CM30c46-O	I	319	OTU richness	18
16S	Armatimonadetes	CM30b58-C	I	9	OTU richness	23
16S	Armatimonadetes	CM30b60-E	I	400	OTU richness	23
16S	Armatimonadetes	CM30c-P	I	283	OTU richness	11
16S	Armatimonadetes	Plot04-A	I	260	OTU richness	15
16S	Armatimonadetes	CM30c39-A	I	290	OTU richness	19
16S	Armatimonadetes	CM30c60-B	I	51	OTU richness	9
16S	Armatimonadetes	Plot01-B	I	50	OTU richness	12
16S	Armatimonadetes	CM30b51-M	I	174.627853	OTU richness	20
16S	Armatimonadetes	CM30d12-L	I	371	OTU richness	18
16S	Armatimonadetes	Plot08-I	I	460	OTU richness	10
16S	Armatimonadetes	CM30c44-C	I	110	OTU richness	13
16S	Armatimonadetes	Plot04-N	I	260	OTU richness	22
16S	Armatimonadetes	LB5-I	I	634	OTU richness	22
16S	Armatimonadetes	CM30d3-D	I	518	OTU richness	20
16S	Armatimonadetes	CM30b58-I	I	9	OTU richness	17
16S	Armatimonadetes	LB1-A	I	630	OTU richness	11
16S	Armatimonadetes	LB5-A	I	634	OTU richness	12
16S	Armatimonadetes	CM30c30-L	I	597	OTU richness	6
16S	Armatimonadetes	Plot06-I	I	320	OTU richness	14
16S	Armatimonadetes	CM30c53-B	I	155	OTU richness	10
16S	Armatimonadetes	CM30c51-I	I	67	OTU richness	8
16S	Armatimonadetes	Plot02-C	I	90	OTU richness	20
16S	Armatimonadetes	CM30c35-D	I	165	OTU richness	13
16S	Armatimonadetes	Plot03-H	I	160	OTU richness	14
16S	Armatimonadetes	CM30b51-B	I	174.627853	OTU richness	21
16S	Armatimonadetes	CM31a5-B	I	70	OTU richness	17
16S	Armatimonadetes	CM30c30-N	I	597	OTU richness	8
16S	Armatimonadetes	CM30b60-M	I	400	OTU richness	10
16S	Armatimonadetes	Plot02-M	I	90	OTU richness	9
16S	Armatimonadetes	Plot08-O	I	460	OTU richness	16
16S	Armatimonadetes	Plot06-N	I	320	OTU richness	9
16S	Armatimonadetes	CM30c35-B	I	165	OTU richness	7
16S	Armatimonadetes	Plot07-N	I	420	OTU richness	7
16S	Armatimonadetes	CM30c60-A	I	51	OTU richness	7
16S	Bacteroidetes	CM30c28-P	I	227	OTU richness	39
16S	Bacteroidetes	CM30c62-D	I	99	OTU richness	50
16S	Bacteroidetes	Plot07-M	I	420	OTU richness	98
16S	Bacteroidetes	LB1-E	I	630	OTU richness	143
16S	Bacteroidetes	Plot05-I	I	240	OTU richness	98
16S	Bacteroidetes	CM30c39-E	I	290	OTU richness	67
16S	Bacteroidetes	Plot01-L	I	50	OTU richness	175
16S	Bacteroidetes	CM30c53-I	I	155	OTU richness	78
16S	Bacteroidetes	CM31a5-A	I	70	OTU richness	109
16S	Bacteroidetes	CM30c46-D	I	319	OTU richness	74
16S	Bacteroidetes	CM30c-O	I	283	OTU richness	88
16S	Bacteroidetes	CM30c28-N	I	227	OTU richness	47
16S	Bacteroidetes	CM30d3-L	I	518	OTU richness	96
16S	Bacteroidetes	CM30c44-B	I	110	OTU richness	122
16S	Bacteroidetes	CM30c37-E	I	279	OTU richness	81
16S	Bacteroidetes	CM30c62-M	I	99	OTU richness	68
16S	Bacteroidetes	CM30c37-L	I	279	OTU richness	115
16S	Bacteroidetes	CM30c51-H	I	67	OTU richness	113
16S	Bacteroidetes	Plot05-N	I	240	OTU richness	76
16S	Bacteroidetes	CM30d12-H	I	371	OTU richness	115
16S	Bacteroidetes	Plot03-N	I	160	OTU richness	103
16S	Bacteroidetes	CM30c46-O	I	319	OTU richness	77
16S	Bacteroidetes	CM30b58-C	I	9	OTU richness	155
16S	Bacteroidetes	CM30b60-E	I	400	OTU richness	212
16S	Bacteroidetes	CM30c-P	I	283	OTU richness	113
16S	Bacteroidetes	Plot04-A	I	260	OTU richness	220
16S	Bacteroidetes	CM30c39-A	I	290	OTU richness	143
16S	Bacteroidetes	CM30c60-B	I	51	OTU richness	39
16S	Bacteroidetes	Plot01-B	I	50	OTU richness	106
16S	Bacteroidetes	CM30b51-M	I	174.627853	OTU richness	117
16S	Bacteroidetes	CM30d12-L	I	371	OTU richness	110
16S	Bacteroidetes	Plot08-I	I	460	OTU richness	67
16S	Bacteroidetes	CM30c44-C	I	110	OTU richness	77
16S	Bacteroidetes	Plot04-N	I	260	OTU richness	232
16S	Bacteroidetes	LB5-I	I	634	OTU richness	167
16S	Bacteroidetes	CM30d3-D	I	518	OTU richness	150
16S	Bacteroidetes	CM30b58-I	I	9	OTU richness	103
16S	Bacteroidetes	LB1-A	I	630	OTU richness	64
16S	Bacteroidetes	LB5-A	I	634	OTU richness	72
16S	Bacteroidetes	CM30c30-L	I	597	OTU richness	29
16S	Bacteroidetes	Plot06-I	I	320	OTU richness	95
16S	Bacteroidetes	CM30c53-B	I	155	OTU richness	69
16S	Bacteroidetes	CM30c51-I	I	67	OTU richness	67
16S	Bacteroidetes	Plot02-C	I	90	OTU richness	51
16S	Bacteroidetes	CM30c35-D	I	165	OTU richness	47
16S	Bacteroidetes	Plot03-H	I	160	OTU richness	62
16S	Bacteroidetes	CM30b51-B	I	174.627853	OTU richness	139
16S	Bacteroidetes	CM31a5-B	I	70	OTU richness	110
16S	Bacteroidetes	CM30c30-N	I	597	OTU richness	50
16S	Bacteroidetes	CM30b60-M	I	400	OTU richness	107
16S	Bacteroidetes	Plot02-M	I	90	OTU richness	54
16S	Bacteroidetes	Plot08-O	I	460	OTU richness	89
16S	Bacteroidetes	Plot06-N	I	320	OTU richness	81
16S	Bacteroidetes	CM30c35-B	I	165	OTU richness	32
16S	Bacteroidetes	Plot07-N	I	420	OTU richness	86
16S	Bacteroidetes	CM30c60-A	I	51	OTU richness	31
16S	Chlorobi	CM30c28-P	I	227	OTU richness	1
16S	Chlorobi	CM30c62-D	I	99	OTU richness	0
16S	Chlorobi	Plot07-M	I	420	OTU richness	4
16S	Chlorobi	LB1-E	I	630	OTU richness	4
16S	Chlorobi	Plot05-I	I	240	OTU richness	0
16S	Chlorobi	CM30c39-E	I	290	OTU richness	4
16S	Chlorobi	Plot01-L	I	50	OTU richness	6
16S	Chlorobi	CM30c53-I	I	155	OTU richness	0
16S	Chlorobi	CM31a5-A	I	70	OTU richness	0
16S	Chlorobi	CM30c46-D	I	319	OTU richness	0
16S	Chlorobi	CM30c-O	I	283	OTU richness	1
16S	Chlorobi	CM30c28-N	I	227	OTU richness	0
16S	Chlorobi	CM30d3-L	I	518	OTU richness	3
16S	Chlorobi	CM30c44-B	I	110	OTU richness	10
16S	Chlorobi	CM30c37-E	I	279	OTU richness	4
16S	Chlorobi	CM30c62-M	I	99	OTU richness	1
16S	Chlorobi	CM30c37-L	I	279	OTU richness	1
16S	Chlorobi	CM30c51-H	I	67	OTU richness	5
16S	Chlorobi	Plot05-N	I	240	OTU richness	3
16S	Chlorobi	CM30d12-H	I	371	OTU richness	3
16S	Chlorobi	Plot03-N	I	160	OTU richness	0
16S	Chlorobi	CM30c46-O	I	319	OTU richness	0
16S	Chlorobi	CM30b58-C	I	9	OTU richness	4
16S	Chlorobi	CM30b60-E	I	400	OTU richness	9
16S	Chlorobi	CM30c-P	I	283	OTU richness	3
16S	Chlorobi	Plot04-A	I	260	OTU richness	8
16S	Chlorobi	CM30c39-A	I	290	OTU richness	9
16S	Chlorobi	CM30c60-B	I	51	OTU richness	2
16S	Chlorobi	Plot01-B	I	50	OTU richness	1
16S	Chlorobi	CM30b51-M	I	174.627853	OTU richness	0
16S	Chlorobi	CM30d12-L	I	371	OTU richness	3
16S	Chlorobi	Plot08-I	I	460	OTU richness	0
16S	Chlorobi	CM30c44-C	I	110	OTU richness	6
16S	Chlorobi	Plot04-N	I	260	OTU richness	7
16S	Chlorobi	LB5-I	I	634	OTU richness	9
16S	Chlorobi	CM30d3-D	I	518	OTU richness	8
16S	Chlorobi	CM30b58-I	I	9	OTU richness	2
16S	Chlorobi	LB1-A	I	630	OTU richness	1
16S	Chlorobi	LB5-A	I	634	OTU richness	1
16S	Chlorobi	CM30c30-L	I	597	OTU richness	0
16S	Chlorobi	Plot06-I	I	320	OTU richness	3
16S	Chlorobi	CM30c53-B	I	155	OTU richness	1
16S	Chlorobi	CM30c51-I	I	67	OTU richness	2
16S	Chlorobi	Plot02-C	I	90	OTU richness	2
16S	Chlorobi	CM30c35-D	I	165	OTU richness	0
16S	Chlorobi	Plot03-H	I	160	OTU richness	1
16S	Chlorobi	CM30b51-B	I	174.627853	OTU richness	2
16S	Chlorobi	CM31a5-B	I	70	OTU richness	0
16S	Chlorobi	CM30c30-N	I	597	OTU richness	1
16S	Chlorobi	CM30b60-M	I	400	OTU richness	4
16S	Chlorobi	Plot02-M	I	90	OTU richness	0
16S	Chlorobi	Plot08-O	I	460	OTU richness	0
16S	Chlorobi	Plot06-N	I	320	OTU richness	2
16S	Chlorobi	CM30c35-B	I	165	OTU richness	0
16S	Chlorobi	Plot07-N	I	420	OTU richness	5
16S	Chlorobi	CM30c60-A	I	51	OTU richness	2
16S	Chlamydiae	CM30c28-P	I	227	OTU richness	52
16S	Chlamydiae	CM30c62-D	I	99	OTU richness	9
16S	Chlamydiae	Plot07-M	I	420	OTU richness	25
16S	Chlamydiae	LB1-E	I	630	OTU richness	76
16S	Chlamydiae	Plot05-I	I	240	OTU richness	42
16S	Chlamydiae	CM30c39-E	I	290	OTU richness	41
16S	Chlamydiae	Plot01-L	I	50	OTU richness	17
16S	Chlamydiae	CM30c53-I	I	155	OTU richness	37
16S	Chlamydiae	CM31a5-A	I	70	OTU richness	41
16S	Chlamydiae	CM30c46-D	I	319	OTU richness	96
16S	Chlamydiae	CM30c-O	I	283	OTU richness	31
16S	Chlamydiae	CM30c28-N	I	227	OTU richness	56
16S	Chlamydiae	CM30d3-L	I	518	OTU richness	28
16S	Chlamydiae	CM30c44-B	I	110	OTU richness	26
16S	Chlamydiae	CM30c37-E	I	279	OTU richness	26
16S	Chlamydiae	CM30c62-M	I	99	OTU richness	13
16S	Chlamydiae	CM30c37-L	I	279	OTU richness	40
16S	Chlamydiae	CM30c51-H	I	67	OTU richness	12
16S	Chlamydiae	Plot05-N	I	240	OTU richness	33
16S	Chlamydiae	CM30d12-H	I	371	OTU richness	59
16S	Chlamydiae	Plot03-N	I	160	OTU richness	13
16S	Chlamydiae	CM30c46-O	I	319	OTU richness	64
16S	Chlamydiae	CM30b58-C	I	9	OTU richness	59
16S	Chlamydiae	CM30b60-E	I	400	OTU richness	89
16S	Chlamydiae	CM30c-P	I	283	OTU richness	45
16S	Chlamydiae	Plot04-A	I	260	OTU richness	43
16S	Chlamydiae	CM30c39-A	I	290	OTU richness	79
16S	Chlamydiae	CM30c60-B	I	51	OTU richness	7
16S	Chlamydiae	Plot01-B	I	50	OTU richness	11
16S	Chlamydiae	CM30b51-M	I	174.627853	OTU richness	45
16S	Chlamydiae	CM30d12-L	I	371	OTU richness	41
16S	Chlamydiae	Plot08-I	I	460	OTU richness	40
16S	Chlamydiae	CM30c44-C	I	110	OTU richness	37
16S	Chlamydiae	Plot04-N	I	260	OTU richness	72
16S	Chlamydiae	LB5-I	I	634	OTU richness	98
16S	Chlamydiae	CM30d3-D	I	518	OTU richness	49
16S	Chlamydiae	CM30b58-I	I	9	OTU richness	37
16S	Chlamydiae	LB1-A	I	630	OTU richness	46
16S	Chlamydiae	LB5-A	I	634	OTU richness	78
16S	Chlamydiae	CM30c30-L	I	597	OTU richness	39
16S	Chlamydiae	Plot06-I	I	320	OTU richness	25
16S	Chlamydiae	CM30c53-B	I	155	OTU richness	39
16S	Chlamydiae	CM30c51-I	I	67	OTU richness	11
16S	Chlamydiae	Plot02-C	I	90	OTU richness	18
16S	Chlamydiae	CM30c35-D	I	165	OTU richness	17
16S	Chlamydiae	Plot03-H	I	160	OTU richness	25
16S	Chlamydiae	CM30b51-B	I	174.627853	OTU richness	51
16S	Chlamydiae	CM31a5-B	I	70	OTU richness	47
16S	Chlamydiae	CM30c30-N	I	597	OTU richness	50
16S	Chlamydiae	CM30b60-M	I	400	OTU richness	17
16S	Chlamydiae	Plot02-M	I	90	OTU richness	21
16S	Chlamydiae	Plot08-O	I	460	OTU richness	52
16S	Chlamydiae	Plot06-N	I	320	OTU richness	33
16S	Chlamydiae	CM30c35-B	I	165	OTU richness	5
16S	Chlamydiae	Plot07-N	I	420	OTU richness	26
16S	Chlamydiae	CM30c60-A	I	51	OTU richness	13
16S	Lentisphaerae	CM30c28-P	I	227	OTU richness	0
16S	Lentisphaerae	CM30c62-D	I	99	OTU richness	1
16S	Lentisphaerae	Plot07-M	I	420	OTU richness	4
16S	Lentisphaerae	LB1-E	I	630	OTU richness	1
16S	Lentisphaerae	Plot05-I	I	240	OTU richness	1
16S	Lentisphaerae	CM30c39-E	I	290	OTU richness	0
16S	Lentisphaerae	Plot01-L	I	50	OTU richness	0
16S	Lentisphaerae	CM30c53-I	I	155	OTU richness	0
16S	Lentisphaerae	CM31a5-A	I	70	OTU richness	2
16S	Lentisphaerae	CM30c46-D	I	319	OTU richness	0
16S	Lentisphaerae	CM30c-O	I	283	OTU richness	0
16S	Lentisphaerae	CM30c28-N	I	227	OTU richness	1
16S	Lentisphaerae	CM30d3-L	I	518	OTU richness	0
16S	Lentisphaerae	CM30c44-B	I	110	OTU richness	1
16S	Lentisphaerae	CM30c37-E	I	279	OTU richness	1
16S	Lentisphaerae	CM30c62-M	I	99	OTU richness	1
16S	Lentisphaerae	CM30c37-L	I	279	OTU richness	1
16S	Lentisphaerae	CM30c51-H	I	67	OTU richness	2
16S	Lentisphaerae	Plot05-N	I	240	OTU richness	1
16S	Lentisphaerae	CM30d12-H	I	371	OTU richness	0
16S	Lentisphaerae	Plot03-N	I	160	OTU richness	0
16S	Lentisphaerae	CM30c46-O	I	319	OTU richness	1
16S	Lentisphaerae	CM30b58-C	I	9	OTU richness	2
16S	Lentisphaerae	CM30b60-E	I	400	OTU richness	5
16S	Lentisphaerae	CM30c-P	I	283	OTU richness	1
16S	Lentisphaerae	Plot04-A	I	260	OTU richness	2
16S	Lentisphaerae	CM30c39-A	I	290	OTU richness	1
16S	Lentisphaerae	CM30c60-B	I	51	OTU richness	1
16S	Lentisphaerae	Plot01-B	I	50	OTU richness	1
16S	Lentisphaerae	CM30b51-M	I	174.627853	OTU richness	1
16S	Lentisphaerae	CM30d12-L	I	371	OTU richness	1
16S	Lentisphaerae	Plot08-I	I	460	OTU richness	0
16S	Lentisphaerae	CM30c44-C	I	110	OTU richness	1
16S	Lentisphaerae	Plot04-N	I	260	OTU richness	1
16S	Lentisphaerae	LB5-I	I	634	OTU richness	2
16S	Lentisphaerae	CM30d3-D	I	518	OTU richness	3
16S	Lentisphaerae	CM30b58-I	I	9	OTU richness	1
16S	Lentisphaerae	LB1-A	I	630	OTU richness	0
16S	Lentisphaerae	LB5-A	I	634	OTU richness	1
16S	Lentisphaerae	CM30c30-L	I	597	OTU richness	0
16S	Lentisphaerae	Plot06-I	I	320	OTU richness	1
16S	Lentisphaerae	CM30c53-B	I	155	OTU richness	0
16S	Lentisphaerae	CM30c51-I	I	67	OTU richness	1
16S	Lentisphaerae	Plot02-C	I	90	OTU richness	1
16S	Lentisphaerae	CM30c35-D	I	165	OTU richness	0
16S	Lentisphaerae	Plot03-H	I	160	OTU richness	1
16S	Lentisphaerae	CM30b51-B	I	174.627853	OTU richness	1
16S	Lentisphaerae	CM31a5-B	I	70	OTU richness	2
16S	Lentisphaerae	CM30c30-N	I	597	OTU richness	0
16S	Lentisphaerae	CM30b60-M	I	400	OTU richness	1
16S	Lentisphaerae	Plot02-M	I	90	OTU richness	0
16S	Lentisphaerae	Plot08-O	I	460	OTU richness	1
16S	Lentisphaerae	Plot06-N	I	320	OTU richness	2
16S	Lentisphaerae	CM30c35-B	I	165	OTU richness	0
16S	Lentisphaerae	Plot07-N	I	420	OTU richness	1
16S	Lentisphaerae	CM30c60-A	I	51	OTU richness	1
16S	Verrucomicrobia	CM30c28-P	I	227	OTU richness	36
16S	Verrucomicrobia	CM30c62-D	I	99	OTU richness	37
16S	Verrucomicrobia	Plot07-M	I	420	OTU richness	95
16S	Verrucomicrobia	LB1-E	I	630	OTU richness	79
16S	Verrucomicrobia	Plot05-I	I	240	OTU richness	69
16S	Verrucomicrobia	CM30c39-E	I	290	OTU richness	38
16S	Verrucomicrobia	Plot01-L	I	50	OTU richness	108
16S	Verrucomicrobia	CM30c53-I	I	155	OTU richness	58
16S	Verrucomicrobia	CM31a5-A	I	70	OTU richness	78
16S	Verrucomicrobia	CM30c46-D	I	319	OTU richness	55
16S	Verrucomicrobia	CM30c-O	I	283	OTU richness	65
16S	Verrucomicrobia	CM30c28-N	I	227	OTU richness	43
16S	Verrucomicrobia	CM30d3-L	I	518	OTU richness	67
16S	Verrucomicrobia	CM30c44-B	I	110	OTU richness	86
16S	Verrucomicrobia	CM30c37-E	I	279	OTU richness	63
16S	Verrucomicrobia	CM30c62-M	I	99	OTU richness	38
16S	Verrucomicrobia	CM30c37-L	I	279	OTU richness	87
16S	Verrucomicrobia	CM30c51-H	I	67	OTU richness	79
16S	Verrucomicrobia	Plot05-N	I	240	OTU richness	68
16S	Verrucomicrobia	CM30d12-H	I	371	OTU richness	97
16S	Verrucomicrobia	Plot03-N	I	160	OTU richness	53
16S	Verrucomicrobia	CM30c46-O	I	319	OTU richness	49
16S	Verrucomicrobia	CM30b58-C	I	9	OTU richness	110
16S	Verrucomicrobia	CM30b60-E	I	400	OTU richness	150
16S	Verrucomicrobia	CM30c-P	I	283	OTU richness	78
16S	Verrucomicrobia	Plot04-A	I	260	OTU richness	108
16S	Verrucomicrobia	CM30c39-A	I	290	OTU richness	101
16S	Verrucomicrobia	CM30c60-B	I	51	OTU richness	41
16S	Verrucomicrobia	Plot01-B	I	50	OTU richness	66
16S	Verrucomicrobia	CM30b51-M	I	174.627853	OTU richness	93
16S	Verrucomicrobia	CM30d12-L	I	371	OTU richness	76
16S	Verrucomicrobia	Plot08-I	I	460	OTU richness	62
16S	Verrucomicrobia	CM30c44-C	I	110	OTU richness	78
16S	Verrucomicrobia	Plot04-N	I	260	OTU richness	139
16S	Verrucomicrobia	LB5-I	I	634	OTU richness	111
16S	Verrucomicrobia	CM30d3-D	I	518	OTU richness	105
16S	Verrucomicrobia	CM30b58-I	I	9	OTU richness	80
16S	Verrucomicrobia	LB1-A	I	630	OTU richness	63
16S	Verrucomicrobia	LB5-A	I	634	OTU richness	66
16S	Verrucomicrobia	CM30c30-L	I	597	OTU richness	48
16S	Verrucomicrobia	Plot06-I	I	320	OTU richness	74
16S	Verrucomicrobia	CM30c53-B	I	155	OTU richness	56
16S	Verrucomicrobia	CM30c51-I	I	67	OTU richness	54
16S	Verrucomicrobia	Plot02-C	I	90	OTU richness	57
16S	Verrucomicrobia	CM30c35-D	I	165	OTU richness	60
16S	Verrucomicrobia	Plot03-H	I	160	OTU richness	43
16S	Verrucomicrobia	CM30b51-B	I	174.627853	OTU richness	103
16S	Verrucomicrobia	CM31a5-B	I	70	OTU richness	100
16S	Verrucomicrobia	CM30c30-N	I	597	OTU richness	58
16S	Verrucomicrobia	CM30b60-M	I	400	OTU richness	92
16S	Verrucomicrobia	Plot02-M	I	90	OTU richness	47
16S	Verrucomicrobia	Plot08-O	I	460	OTU richness	76
